stop_id,station_id,travel_time,weekday_trips,weekend_trips,latitude,longitude,station_name,line_numbers,route_ids,parent_stop
9033,37322,10,617,53,31.743250,34.986258,בית שמש,10 15 211 9,15488 11089 15438 15439 15541,
13314,37350,10,1552,190,32.076828,34.768304,השלום,63,2517,
25550,37328,15,205,24,31.810496,34.664833,יבנה מזרח,212 220,43 46,
13733,37360,9,1936,157,32.094066,34.792836,תא אוניברסיטה,25 7 89,9788 9789 2276 2380,
17766,37382,28,336,20,33.070164,35.145018,נהריה,22 36,312 313 12124,
13720,37350,12,690,33,32.089073,34.790121,השלום,7,2275,
27312,37316,22,40,3,31.622352,34.702787,קרית גת,61,16649,
15113,37366,25,120,4,32.313506,34.964879,נתניה,41,11776,
23072,37394,1,895,99,31.904732,35.007902,מודיעין מרכז,101 106 107 111 112 150 152 201 202 27 28 5,9009 9028 11197 11346 15251 11169 11179 11181 11183 11198 11200 11359 11372 15253 16325,
603,37350,56,204,4,32.305088,34.880694,השלום,606 616,719 15568,
6944,37350,157,3,0,32.759165,35.148499,השלום,826,7079,
21591,37358,32,295,4,31.939265,34.865760,תל אביב מרכז,454 458,16491 9436 11936 16323,
15798,37298,76,389,26,31.990906,34.771288,ראשונים,20 221,5149 3087,
20532,37384,110,48,2,32.994123,35.690125,עכו,503,16382,
23596,37328,21,15,2,31.967627,34.784625,יבנה מזרח,355,6623,
5288,37350,184,60,6,32.618077,35.552631,השלום,832 843 853,13097 13098 13678 7178 7154 7155 7179,
4663,37350,165,60,4,32.493906,35.496106,השלום,832 843 853,13098 7099 7100 13678 7154 7179,
15956,37304,21,40,0,32.238911,34.999259,כפר סבא,118,10852,
10861,37322,28,30,4,31.682907,35.016789,בית שמש,26,15503,
13019,37394,28,50,0,32.060522,34.781999,מודיעין מרכז,112,11200,
27868,38643,31,30,3,31.507129,34.587099,נתיבות,25,16584,
2619,37376,28,280,22,32.827968,34.978137,חוף הכרמל,43,13247,
621,37366,21,516,23,32.291132,34.864850,נתניה,15 27,2169 10494,
16076,37300,10,275,23,31.874328,34.744996,יבנה מערב,48 49 51,37 98 15809,
13862,37350,22,1693,193,32.061888,34.821958,השלום,63,2519,
827,37304,27,120,0,32.170317,34.926680,כפר סבא,21 40,14205 15834 7918,
39499,39260,9,170,24,31.303146,34.628253,אופקים,5,16709,
15327,37338,20,11,0,31.952499,34.906142,לוד,461,8448,
17200,37378,25,968,62,32.790413,35.024652,בת גלים,40 42,13246 11321,
27446,37348,70,24,0,31.684600,34.579744,צומת חולון,304,12592,
13818,37350,20,583,37,32.066351,34.807705,השלום,23,2358,
24160,37344,5,222,28,32.015191,34.784884,בת ים יוספטל,144 404 406,6939 13022 13023 13026 13027 6943 3311,
23892,37292,44,48,1,31.959695,34.823905,תל אביב ההגנה,274,3395 3396,
22091,37336,4,480,40,31.932920,34.880550,רמלה,12 247 354 451,8352 8438 11907 11931 8133,
312,37366,10,96,4,32.319667,34.851035,נתניה,14,10268,
24125,37348,16,821,75,32.007101,34.798135,צומת חולון,189,9813,
27734,37290,21,25,0,31.437875,34.666568,שדרות,457,16773,
24527,37296,8,480,68,32.157436,34.912252,הוד השרון,1 12 4,16803 16802 15406 7831 7852 7854 7891,
29424,37356,10,935,42,32.125763,34.825760,בני ברק,524 525 531 618,716 5217 5221 5226 5227 5222 13649,
597,37358,85,24,0,32.286178,34.948387,תל אביב מרכז,627,11777,
26549,37328,30,150,16,31.576588,34.644701,יבנה מזרח,353,8130 8128 8129 8131,
35987,37394,11,15,2,31.920434,35.014437,מודיעין מרכז,28,11346,
15772,37348,49,12,0,32.006660,34.856201,צומת חולון,154,3312,
14817,37366,11,144,5,32.347709,34.898412,נתניה,26,11756,
15966,37358,93,12,1,32.220451,34.989241,תל אביב מרכז,567,5255 13658,
14459,37362,26,30,6,32.166934,34.855713,הרצליה,12,7886,
15487,37302,26,107,17,32.047574,34.956628,ראש העין-צפון,276,16987 1957,
37791,37388,0,2324,169,32.792870,35.034346,לב המפרץ,141 142 331 332 338 339 342 40,4151 4154 13246 1561 1563 1566 1568 1572 1574 1578 1580 1595 1598 1603 1604 1605 1606 1607 1601 1597 1600,3871
25963,37300,34,65,2,31.794583,34.740969,יבנה מערב,340,85,
27246,37312,60,150,26,31.520835,34.592656,באר שבע מרכז,343 383,12323 12431 11744,
2357,37382,45,153,6,32.805751,35.056530,נהריה,272 273,4447 4450,
25968,37326,73,50,5,31.668214,34.572132,אשדוד עד הלום,152,15801,
27572,37328,38,150,16,31.523900,34.595477,יבנה מזרח,353,8130 8128 8129 8131,
17246,37350,85,36,1,32.426131,34.950499,השלום,700,5286 5287,
21566,37336,22,72,2,31.891573,34.928532,רמלה,16,12004,
38719,37370,14,36,0,32.435750,34.913945,קיסריה פרדס חנה,67,12252,37412
29458,37356,16,271,34,32.119522,34.825460,בני ברק,22,9825,
15643,37358,44,180,21,32.045843,34.841206,תל אביב מרכז,169 69,993 1042,
16796,37298,10,501,25,31.953381,34.820891,ראשונים,10,9490 9489,
13357,37348,7,720,85,32.056508,34.780026,צומת חולון,89,9785 9786,
1228,37350,86,356,30,32.440961,34.931859,השלום,808 852 872,5297 5311 5312 13663 13664 16888,
24991,37338,14,395,15,31.944675,34.901435,לוד,11 2 461,8333 8349 8348 8448 11906,
482,37364,37,240,11,32.266481,34.915282,בית יהושע,11,11759 11760,
20672,37350,148,3,0,32.741496,35.147387,השלום,826,7079,
21388,37348,28,96,7,31.923514,34.854096,צומת חולון,245,11929,
37077,37290,53,25,0,31.378405,34.731408,שדרות,457,16773,
22204,37358,39,20,0,31.890187,35.008184,תל אביב מרכז,103,11172,
29203,37312,11,2247,315,31.255461,34.799582,באר שבע מרכז,5,156,
18230,37382,29,48,5,33.015329,35.345881,נהריה,50,15249 12142,
15407,37358,28,505,51,32.060250,34.863447,תל אביב מרכז,55 68,977 989,
34380,37304,16,20,0,32.173830,35.008422,כפר סבא,183,9297,
23028,37358,49,250,36,31.898805,35.017722,תל אביב מרכז,107 111,15252 11178,
109,37292,22,36,0,31.942286,34.831985,תל אביב ההגנה,159,13814 13815,
27237,37290,20,308,68,31.426871,34.587206,שדרות,490 492,12797 12798 13497 13672 13673 15418 6725 6726 6727 6732 6733,
