stop_id,station_id,travel_time,weekday_trips,weekend_trips,latitude,longitude,station_name,line_numbers,route_ids,parent_stop
26964,39260,15,627,61,31.316097,34.611344,אופקים,1 3 4,16677 16707 16691,
37215,39260,8,350,26,31.315047,34.623160,אופקים,2,16711,
28129,38643,11,715,108,31.416192,34.579714,נתיבות,1 3 4,16559 16560 16616 16712,
39768,38643,6,240,37,31.422791,34.572935,נתיבות,3,16712,
39765,38643,7,240,36,31.416788,34.570109,נתיבות,4,16616,
28126,38643,3,240,33,31.415569,34.576218,נתיבות,2,16702,
27221,38643,18,240,33,31.424502,34.600082,נתיבות,2,16702,
39455,38643,16,60,3,31.401674,34.602160,נתיבות,54,16644,
27298,39260,13,240,33,31.309209,34.611909,אופקים,4,16677,
27734,37290,21,25,0,31.437875,34.666568,שדרות,457,16773,
27741,37290,20,60,5,31.618594,34.700574,שדרות,240,16583,
27631,37290,25,60,3,31.616870,34.658983,שדרות,22,1915,
39792,38643,8,480,73,31.419087,34.573794,נתיבות,3 4,16616 16712,
27633,37290,27,60,3,31.634063,34.663098,שדרות,22,1915,
29249,39260,4,663,60,31.317098,34.620906,אופקים,1 30 32 34 5,16691 16709 16539 16610 16600,
27236,37290,18,60,16,31.426642,34.587053,שדרות,363,16545,
27619,37308,10,75,9,31.367128,34.813570,להבים רהט,47,16542,
27039,39260,18,68,1,31.308235,34.531185,אופקים,30,16539,
39462,38643,25,60,3,31.394207,34.600071,נתיבות,54,16644,
27252,37290,3,220,11,31.524482,34.593224,שדרות,3,11822,
28881,39260,7,553,65,31.310184,34.621154,אופקים,30 32 34 4 5,16677 16709 16539 16610 16600,
39536,37290,8,220,11,31.534749,34.584398,שדרות,3,11822,
27886,38643,14,30,3,31.448972,34.600676,נתיבות,25,16584,
27031,37290,2,60,3,31.518742,34.580212,שדרות,27,16595,
27752,37290,21,60,5,31.625128,34.698889,שדרות,240,16583,
28631,37290,25,60,3,31.470073,34.534428,שדרות,29,1912,
28835,38643,21,1120,167,31.416475,34.590522,נתיבות,1 2 3 4 5,16559 16560 16616 16635 16702 16712,
27260,37290,7,220,11,31.523520,34.602389,שדרות,4,11819,
27301,39260,18,760,83,31.299099,34.631898,אופקים,2 3 5,16706 16707 16709 16711,
27890,37290,8,72,14,31.465873,34.533678,שדרות,136 36 379 479,16572 16634 16985 16552 1893 1894,
26989,37308,9,75,9,31.371031,34.809464,להבים רהט,47,16542,
27661,37290,2,170,11,31.510243,34.593061,שדרות,10 240 463,16583 16738 16693 16728,
27830,39260,23,139,11,31.247216,34.778837,אופקים,130 134 135 35,16567 16569 16871 1802 1863,
27944,39260,21,50,8,31.302478,34.432251,אופקים,135 35,16570 1806 16879,
28067,37290,18,25,0,31.635195,34.554977,שדרות,457,16774,
39465,38643,21,60,3,31.394204,34.589113,נתיבות,54,16644,
27567,37290,20,142,21,31.419502,34.588024,שדרות,25 378,16585 10296,
27736,38643,19,110,6,31.441937,34.637791,נתיבות,51 52,16638 16640,
28634,37290,12,35,2,31.505501,34.646446,שדרות,463,16738 16728,
39584,38643,15,45,5,31.378295,34.621151,נתיבות,326 56,16604 16716,
39499,39260,9,170,24,31.303146,34.628253,אופקים,5,16709,
25698,37290,16,30,5,31.665272,34.606540,שדרות,136 36,16551 16571,
39476,38643,8,240,36,31.417594,34.566967,נתיבות,4,16616,
11954,39260,27,45,2,31.201945,34.535787,אופקים,130,1865,
27677,37290,21,72,14,31.381332,34.447416,שדרות,136 36 379 479,16572 16634 16985 16552 1893 1894,
27603,37308,16,75,9,31.374573,34.809245,להבים רהט,47,16542,
39582,38643,23,45,5,31.371267,34.643180,נתיבות,326 56,16604 16716,
27666,37290,8,165,10,31.529164,34.609954,שדרות,22 240 366 463,16583 16738 1915 16728 16547,
39469,38643,14,60,3,31.429473,34.609402,נתיבות,51,16638,
27611,37308,13,75,9,31.370709,34.821293,להבים רהט,47,16542,
39371,39260,21,35,3,31.326422,34.587287,אופקים,134 34,16568 16611,
28693,37290,17,60,16,31.425545,34.592224,שדרות,363,16545,
39425,39260,10,350,28,31.310809,34.609160,אופקים,1,16691,
27331,37308,14,75,9,31.371274,34.819286,להבים רהט,47,16542,
27643,37290,23,60,5,31.645255,34.699412,שדרות,240,16583,
28451,37308,12,65,8,31.393062,34.774254,להבים רהט,40 41,239 240 237,
39570,37290,21,30,3,31.481833,34.596691,שדרות,25,16585,
39438,38643,25,60,3,31.446782,34.552979,נתיבות,55,16646,
27791,37290,9,360,17,31.618697,34.579765,שדרות,136 36 364 365 457 465,16631 16774 16551 1875 1877 16571,
27237,38643,11,235,35,31.426871,34.587206,נתיבות,1,16559 16560,
37831,38643,13,35,0,31.413528,34.613077,נתיבות,15 325,16684 16553,
26439,37290,21,308,68,31.426407,34.592503,שדרות,490 492,12797 12798 13497 13672 13673 15418 6725 6726 6727 6732 6733,
39218,39260,0,1822,180,31.321903,34.633271,אופקים,1 130 134 135 2 3 30 32 34 35 4 5,16567 16568 16569 16677 16706 16707 16871 16570 16601 16611 16691 1802 1806 1863 1865 16709 16711 16539 16879 16610 16600,
39447,38643,19,60,3,31.454128,34.552443,נתיבות,55,16646,
26437,38643,15,240,33,31.427344,34.595970,נתיבות,2,16702,
26988,37308,8,75,9,31.370740,34.806247,להבים רהט,47,16542,
39424,39260,9,350,28,31.308767,34.611350,אופקים,1,16691,
27808,37290,27,60,5,31.626507,34.756923,שדרות,240,16583,
39565,39260,11,350,28,31.312275,34.608767,אופקים,1,16691,
26435,37290,22,308,68,31.428102,34.598173,שדרות,490 492,12797 12798 13497 13672 13673 15418 6725 6726 6727 6732 6733,
39445,38643,21,60,3,31.449111,34.544354,נתיבות,55,16646,
39440,38643,13,30,3,31.446705,34.607111,נתיבות,25,16584,
27638,37290,19,180,11,31.568282,34.642894,שדרות,22 240 26,16583 16593 1915,
