stop_id,station_id,stop_code,station_code,station_distance,stop_lat,stop_lon,google_walking_distance,gh_walking_distance,google_station_lat,google_station_lon,gh_station_lat,gh_station_lon,google_directions,gh_directions
3367,37376,42501,17020,322.9054152809287,32.790898,34.958675,372,524.271,32.79338,34.95712,32.79338,34.95712,32.790874 34.958634 32.792926 34.957759 32.792938 34.957674 32.793283 34.957781 32.793380 34.957120,32.790893 34.958654 32.790756 34.958700 32.790538 34.958724 32.790540 34.958642 32.790499 34.958575 32.790468 34.958556 32.790731 34.958528 32.790953 34.958459 32.791187 34.958354 32.791507 34.958100 32.791956 34.957702 32.792101 34.957614 32.792224 34.957586 32.792811 34.957619 32.793184 34.957716 32.793197 34.957199 32.793184 34.956812 32.793404 34.956795 32.793408 34.957057 32.793379 34.957058
3378,37376,42512,17020,228.7839777593725,32.795625,34.956963,293,301.016,32.79338,34.95712,32.79338,34.95712,32.795628 34.957029 32.795179 34.957282 32.794122 34.956994 32.793926 34.956994 32.793388 34.956953 32.793380 34.957120,32.795626 34.956982 32.795360 34.956997 32.795308 34.957013 32.795264 34.957054 32.795223 34.957169 32.794774 34.957146 32.794556 34.957110 32.794326 34.957019 32.794255 34.956956 32.794182 34.956854 32.794121 34.956893 32.794088 34.956893 32.794029 34.956858 32.793998 34.956789 32.793997 34.956750 32.793404 34.956795 32.793408 34.957057 32.793379 34.957058
3394,37390,42528,17006,55.551714004158775,32.833632,35.070065,300,150.989,32.83319,35.07019,32.83319,35.07019,32.833665 35.070000 32.834447 35.070560 32.834251 35.071089 32.833175 35.070377,32.833598 35.070133 32.832974 35.069688 32.832859 35.069928 32.833198 35.070175
3522,37376,42657,17020,205.56238585784305,32.793368,34.959587,401,428.705,32.793999,34.95766,32.793999,34.95766,32.793341 34.959586 32.793851 34.960491 32.793992 34.957831 32.793998 34.957649,32.793735 34.959579 32.793730 34.959299 32.794583 34.959294 32.794643 34.959257 32.794717 34.959148 32.794770 34.958864 32.794778 34.958622 32.794742 34.958389 32.794683 34.958292 32.794602 34.958234 32.794551 34.958218 32.794508 34.958233 32.794463 34.958281 32.794424 34.958336 32.794341 34.958528 32.794296 34.958582 32.794237 34.958619 32.794143 34.958641 32.793947 34.958648 32.793962 34.957814 32.793943 34.957786 32.793930 34.957714 32.793957 34.957648 32.793995 34.957624
3523,37376,42658,17020,149.85697399068343,32.793372,34.958985,607,454.141,32.793999,34.95766,32.793999,34.95766,32.793356 34.958989 32.793380 34.958125 32.793928 34.960409 32.793992 34.957831 32.793998 34.957649,32.793576 34.958991 32.793595 34.958948 32.793689 34.958943 32.793721 34.958959 32.793730 34.959299 32.794583 34.959294 32.794643 34.959257 32.794717 34.959148 32.794770 34.958864 32.794778 34.958622 32.794742 34.958389 32.794683 34.958292 32.794602 34.958234 32.794551 34.958218 32.794508 34.958233 32.794424 34.958336 32.794341 34.958528 32.794296 34.958582 32.794237 34.958619 32.794143 34.958641 32.793947 34.958648 32.793962 34.957814 32.793943 34.957786 32.793930 34.957714 32.793957 34.957648 32.793995 34.957624
3524,37376,42659,17020,153.20659573935214,32.793809,34.959025,401,404.538,32.793999,34.95766,32.793999,34.95766,32.793837 34.959024 32.793928 34.960409 32.793992 34.957831 32.793998 34.957649,32.793854 34.959025 32.793854 34.960127 32.793882 34.960324 32.793879 34.960457 32.793931 34.960271 32.793958 34.960084 32.793942 34.958837 32.793962 34.957814 32.793943 34.957786 32.793930 34.957714 32.793957 34.957648 32.793995 34.957624
3558,37392,42693,17004,213.78822604416106,32.826138,35.062520,439,421.707,32.82462,35.06411,32.82462,35.06411,32.826134 35.062476 32.824042 35.064584 32.824527 35.064130,32.826132 35.062463 32.825813 35.062519 32.825152 35.062785 32.824992 35.062916 32.824848 35.063072 32.824713 35.063249 32.824468 35.063678 32.824038 35.064555 32.824001 35.064446 32.824167 35.064051 32.824536 35.064287
3559,37392,42694,17004,230.64656467844077,32.826138,35.062292,445,427.822,32.82462,35.06411,32.82462,35.06411,32.826143 35.062354 32.824042 35.064584 32.824527 35.064130,32.826141 35.062314 32.825786 35.062403 32.825428 35.062577 32.824992 35.062916 32.824848 35.063072 32.824713 35.063249 32.824468 35.063678 32.824038 35.064555 32.824001 35.064446 32.824167 35.064051 32.824536 35.064287
3593,37392,42728,17004,127.48000148062242,32.824928,35.062925,298,280.533,32.82462,35.06411,32.82462,35.06411,32.824959 35.062967 32.824042 35.064584 32.824527 35.064130,32.824953 35.062958 32.824713 35.063249 32.824468 35.063678 32.824038 35.064555 32.824001 35.064446 32.824167 35.064051 32.824536 35.064287
3594,37392,42729,17004,339.62017823535706,32.822901,35.067022,376,346.73,32.82462,35.06411,32.82462,35.06411,32.822862 35.066995 32.824042 35.064584 32.824527 35.064130,32.822864 35.066995 32.823407 35.065912 32.823493 35.065625 32.823749 35.065137 32.823797 35.065129 32.823865 35.065153 32.824332 35.064150 32.824536 35.064287
3596,37392,42731,17004,93.68412289246636,32.824080,35.064399,96,113.959,32.82462,35.06411,32.82462,35.06411,32.824050 35.064388 32.824527 35.064130,32.824106 35.064417 32.824038 35.064555 32.824001 35.064446 32.824167 35.064051 32.824536 35.064287
3611,37378,42746,17018,320.82178811332693,32.830821,34.985302,354,348.424,32.8306,34.98206,32.8306,34.98206,32.830794 34.985343 32.830731 34.982758 32.830682 34.982323 32.830557 34.982093,32.830799 34.985364 32.830703 34.985315 32.830479 34.984933 32.830411 34.984743 32.830353 34.984450 32.830345 34.984210 32.830862 34.982454 32.830805 34.982323 32.830746 34.982275 32.830676 34.982260 32.830563 34.982095
3838,37380,42976,17016,206.96350380359905,32.822523,34.994976,156,154.971,32.821826,34.996372,32.821826,34.996372,32.822498 34.994952 32.821903 34.995845 32.821801 34.996333,32.822495 34.994951 32.821999 34.995753 32.821952 34.995895 32.821948 34.996115 32.821918 34.996215 32.821802 34.996333
3839,37380,42977,17016,92.0786345672958,32.821830,34.996370,0,0.47,32.821826,34.996372,32.821826,34.996372,32.821804 34.996330 32.821801 34.996333,32.821806 34.996330 32.821802 34.996333
3840,37380,42978,17016,42.69229927295003,32.821922,34.997164,16,16.451,32.822056,34.997069,32.822056,34.997069,32.821925 34.997168 32.822021 34.997035,32.821898 34.997140 32.821995 34.997006
