Month,Station,Embarking,Disemabrking
2016-03,בת-ים קוממיות,"36,708","34,082"
2016-03,"ראשל""צ משה-דיין","93,103","95,499"
2016-03,יבנה מערב,"57,660","57,756"
2016-03,שדרות,"42,981","39,114"
2016-03,נתיבות,"32,808","31,495"
2016-03,אופקים,"49,143","40,252"
2016-04,"ת""א סבידור מרכז","522,426","580,226"
2016-04,הרצלייה,"101,516","100,132"
2016-04,בית-יהושע,"85,463","86,257"
2016-04,נתניה,"162,922","170,345"
2016-04,חדרה מערב,"68,440","74,764"
2016-04,בנימינה,"115,512","103,425"
2016-04,קיסריה פרדס-חנה,"41,776","38,454"
2016-04,עתלית,"10,475","10,374"
2016-04,חיפה בת-גלים,"70,215","67,971"
2016-04,חוצות המפרץ,"14,493","16,059"
2016-04,קריית חיים,"17,440","15,782"
2016-04,קריית מוצקין,"84,874","77,740"
2016-04,עכו,"94,247","95,322"
2016-04,חיפה חוף-הכרמל,"184,674","181,221"
2016-04,כפר-סבא נורדאו,"55,467","53,316"
2016-04,נהרייה,"111,111","106,166"
2016-04,ירושלים גן-החיות,"1,107","2,226"
2016-04,בית-שמש,"46,468","47,726"
2016-04,קריית-גת,"34,520","31,928"
2016-04,לוד,"93,317","90,149"
2016-04,באר-שבע צפון,"74,798","67,337"
2016-04,"כפר חב""ד","11,115","11,160"
2016-04,"ת""א השלום","520,322","513,104"
2016-04,חיפה מרכז השמונה,"67,322","61,995"
2016-04,רמלה,"25,160","23,962"
2016-04,ראש-העין צפון,"56,216","50,856"
2016-04,באר-יעקב,"20,007","15,571"
2016-04,רחובות,"154,568","162,277"
2016-04,יבנה מזרח,"20,211","19,389"
2016-04,"ראשל""צ הראשונים","26,908","25,273"
2016-04,אשדוד עד-הלום,"118,787","121,070"
2016-04,פתח-תקווה סגולה,"33,287","32,824"
2016-04,בני ברק,"39,200","44,573"
2016-04,"ת""א אוניברסיטה","239,106","237,558"
2016-04,באר-שבע מרכז,"146,918","127,803"
2016-04,לב המפרץ,"88,344","87,112"
2016-04,"ת""א ההגנה","191,623","200,808"
2016-04,"נתב""ג","111,119","124,109"
2016-04,ירושלים מלחה,"22,270","24,361"
2016-04,אשקלון,"94,975","92,506"
2016-04,דימונה,911,955
2016-04,הוד-השרון סוקולוב,"41,795","40,330"
2016-04,קריית אריה,"55,934","53,959"
2016-04,לוד גני-אביב,"21,957","18,643"
2016-04,להבים רהט,"15,154","18,780"
2016-04,פאתי מודיעין,"15,432","14,528"
2016-04,מודיעין מרכז,"70,041","67,327"
2016-04,צומת חולון,"17,603","20,775"
2016-04,חולון וולפסון,"27,641","27,251"
2016-04,בת-ים יוספטל,"61,260","59,379"
2016-04,בת-ים קוממיות,"31,078","28,944"
2016-04,"ראשל""צ משה-דיין","74,966","78,400"
2016-04,יבנה מערב,"45,325","44,664"
2016-04,שדרות,"36,422","32,433"
2016-04,נתיבות,"31,149","29,234"
2016-04,אופקים,"28,634","25,188"
